,Price (Tỷ),Area (m2),Price Per m2 (tr/m2),Location,In-Out
480,23.9,115.0,207.83,nam từ liêm,Quận
481,3.3,60.0,55.0,hà đông,Quận
482,17.9,90.0,198.89,ba đình,Quận
483,1.65,31.0,53.23,hà đông,Quận
484,6.7,46.0,145.65,hoàn kiếm,Quận
485,12.9,58.0,222.41,tây hồ,Quận
486,10.8,95.0,113.68,ba đình,Quận
487,4.3,33.0,130.3,hoàn kiếm,Quận
488,4.53,62.0,73.06,long biên,Quận
489,6.7,51.0,131.37,ba đình,Quận
490,3.5,30.0,116.67,tây hồ,Quận
491,11.5,62.0,185.48,đống đa,Quận
492,6.0,68.0,88.24,long biên,Quận
493,3.2,26.0,123.08,đống đa,Quận
494,11.8,70.0,168.57,thanh xuân,Quận
495,12.8,85.0,150.59,hoàn kiếm,Quận
496,2.4,25.0,96.0,hoàn kiếm,Quận
497,6.4,111.0,57.66,đống đa,Quận
498,4.55,60.0,75.83,long biên,Quận
499,22.0,90.0,244.44,thanh xuân,Quận
500,2.7,30.0,90.0,đống đa,Quận
501,1.5,36.0,41.67,hoài đức,Huyện
502,2.4,38.0,63.16,hoàn kiếm,Quận
503,3.2,52.0,61.54,long biên,Quận
504,2.8,41.0,68.29,long biên,Quận
505,4.3,82.0,52.44,long biên,Quận
506,3.2,46.0,69.57,long biên,Quận
507,2.4,45.0,53.33,long biên,Quận
508,2.5,35.0,71.43,long biên,Quận
509,3.6,52.0,69.23,long biên,Quận
510,3.95,48.0,82.29,long biên,Quận
511,3.4,77.0,44.16,long biên,Quận
512,6.6,50.0,132.0,ba đình,Quận
513,3.1,34.0,91.18,long biên,Quận
514,7.49,55.0,136.18,ba đình,Quận
515,3.4,68.0,50.0,long biên,Quận
516,2.4,24.0,100.0,đống đa,Quận
517,6.0,85.0,70.59,hoàn kiếm,Quận
518,4.0,62.0,64.52,hoàn kiếm,Quận
519,2.6,38.0,68.42,hoàn kiếm,Quận
520,8.0,72.0,111.11,ba đình,Quận
521,2.9,37.0,78.38,ba đình,Quận
522,3.5,36.0,97.22,hoàn kiếm,Quận
523,1.55,20.0,77.5,hoàn kiếm,Quận
524,2.3,39.8,57.79,long biên,Quận
525,3.09,40.0,77.25,long biên,Quận
526,3.0,78.0,38.46,nam từ liêm,Quận
527,14.2,50.0,284.0,ba đình,Quận
528,3.95,66.0,59.85,long biên,Quận
529,8.2,90.0,91.11,long biên,Quận
530,8.9,75.0,118.67,đống đa,Quận
531,2.43,40.0,60.75,hoàn kiếm,Quận
532,10.0,55.0,181.82,ba đình,Quận
533,4.2,32.0,131.25,long biên,Quận
534,5.0,35.0,142.86,hoàn kiếm,Quận
535,4.35,48.0,90.62,đống đa,Quận
536,2.95,34.0,86.76,long biên,Quận
537,3.25,35.0,92.86,đống đa,Quận
538,7.7,57.0,135.09,ba đình,Quận
539,6.5,50.0,130.0,thanh xuân,Quận
540,1.92,30.0,64.0,hoàn kiếm,Quận
541,4.5,35.0,128.57,thanh xuân,Quận
542,4.8,55.0,87.27,đống đa,Quận
543,3.3,75.0,44.0,nam từ liêm,Quận
544,8.5,76.1,111.7,gia lâm,Huyện
545,16.0,230.0,69.57,hoàn kiếm,Quận
546,15.9,227.0,70.04,đông anh,Huyện
547,3.9,35.0,111.43,đống đa,Quận
548,3.3,30.0,110.0,đống đa,Quận
549,2.6,37.0,70.27,hoàn kiếm,Quận
550,5.95,53.0,112.26,hoàn kiếm,Quận
551,1.3,35.0,37.14,bắc từ liêm,Quận
552,1.09,33.0,33.03,hà đông,Quận
553,1.2,32.0,37.5,hà đông,Quận
554,2.66,30.0,88.67,hà đông,Quận
555,5.7,26.0,219.23,hoàn kiếm,Quận
556,4.5,45.0,100.0,tây hồ,Quận
557,12.0,68.0,176.47,tây hồ,Quận
558,4.7,45.0,104.44,ba đình,Quận
559,6.7,45.0,148.89,thanh xuân,Quận
560,4.5,72.0,62.5,long biên,Quận
561,4.25,40.0,106.25,hoàn kiếm,Quận
562,2.75,33.0,83.33,long biên,Quận
563,2.5,40.0,62.5,hoàn kiếm,Quận
564,5.7,30.0,190.0,hoàn kiếm,Quận
565,4.4,64.0,68.75,long biên,Quận
566,2.8,40.0,70.0,ba đình,Quận
567,4.7,74.0,63.51,long biên,Quận
568,6.45,55.0,117.27,ba đình,Quận
569,7.8,42.0,185.71,đống đa,Quận
570,8.15,62.0,131.45,ba đình,Quận
571,5.3,75.0,70.67,tây hồ,Quận
572,4.0,41.0,97.56,ba đình,Quận
573,3.65,38.0,96.05,ba đình,Quận
574,2.15,33.0,65.15,long biên,Quận
575,7.0,40.0,175.0,ba đình,Quận
576,6.5,60.0,108.33,thanh xuân,Quận
577,4.8,45.0,106.67,đống đa,Quận
578,5.0,56.0,89.29,hoàn kiếm,Quận
579,1.75,32.0,54.69,hà đông,Quận
580,5.0,76.0,65.79,đống đa,Quận
581,3.45,36.0,95.83,hoàn kiếm,Quận
582,10.7,89.39,119.7,gia lâm,Huyện
583,2.6,32.0,81.25,hoàn kiếm,Quận
584,4.4,41.0,107.32,hoàn kiếm,Quận
585,8.8,50.0,176.0,bắc từ liêm,Quận
586,7.0,45.0,155.56,ba đình,Quận
587,4.8,25.0,192.0,hoàn kiếm,Quận
588,5.5,50.0,110.0,tây hồ,Quận
589,4.6,45.0,102.22,ba đình,Quận
590,25.0,90.0,277.78,hoàn kiếm,Quận
591,17.0,63.0,269.84,ba đình,Quận
592,24.0,77.0,311.69,hoàn kiếm,Quận
593,2.2,29.0,75.86,hoàn kiếm,Quận
594,6.3,50.0,126.0,ba đình,Quận
595,3.25,39.0,83.33,hoàn kiếm,Quận
596,2.5,42.0,59.52,long biên,Quận
597,4.6,51.0,90.2,ba đình,Quận
598,6.8,55.0,123.64,ba đình,Quận
599,2.6,30.0,86.67,hoàn kiếm,Quận
600,5.4,46.0,117.39,đống đa,Quận
601,3.5,48.0,72.92,hoàn kiếm,Quận
602,6.8,60.0,113.33,thanh xuân,Quận
603,12.7,90.0,141.11,ba đình,Quận
604,2.35,26.0,90.38,hoàn kiếm,Quận
605,3.0,35.0,85.71,ba đình,Quận
606,3.19,45.0,70.89,long biên,Quận
607,4.65,35.0,132.86,ba đình,Quận
608,5.4,30.0,180.0,ba đình,Quận
609,5.4,58.0,93.1,nam từ liêm,Quận
610,8.1,35.0,231.43,đống đa,Quận
611,3.6,39.0,92.31,hoàn kiếm,Quận
612,3.2,30.0,106.67,đống đa,Quận
613,4.4,48.0,91.67,hoàn kiếm,Quận
614,3.3,35.0,94.29,đống đa,Quận
615,4.25,40.0,106.25,hoàn kiếm,Quận
616,4.8,38.0,126.32,long biên,Quận
617,3.5,38.0,92.11,hoàn kiếm,Quận
618,4.4,43.0,102.33,hà đông,Quận
619,4.55,38.0,119.74,thanh xuân,Quận
620,12.0,50.0,240.0,hoàn kiếm,Quận
621,3.45,40.0,86.25,hoàn kiếm,Quận
622,2.99,32.0,93.44,hoàn kiếm,Quận
623,14.0,60.0,233.33,ba đình,Quận
624,3.55,30.0,118.33,đống đa,Quận
625,12.9,143.0,90.21,long biên,Quận
626,7.95,60.0,132.5,đống đa,Quận
627,4.15,45.0,92.22,hà đông,Quận
628,4.8,50.0,96.0,thanh trì,Huyện
629,4.9,50.0,98.0,long biên,Quận
630,1.2,35.0,34.29,hoài đức,Huyện
631,1.6,35.0,45.71,hoài đức,Huyện
632,11.0,60.0,183.33,ba đình,Quận
633,2.9,40.0,72.5,long biên,Quận
634,5.5,32.0,171.88,ba đình,Quận
635,1.1,32.0,34.38,hà đông,Quận
636,2.7,40.0,67.5,bắc từ liêm,Quận
637,7.2,50.0,144.0,ba đình,Quận
638,2.6,58.0,44.83,long biên,Quận
639,5.0,77.0,64.94,long biên,Quận
640,14.5,75.0,193.33,đống đa,Quận
641,3.4,41.5,81.93,long biên,Quận
642,3.0,52.0,57.69,long biên,Quận
643,2.5,40.0,62.5,nam từ liêm,Quận
644,5.8,45.0,128.89,hoàn kiếm,Quận
645,18.0,74.0,243.24,đống đa,Quận
646,1.95,32.0,60.94,long biên,Quận
647,27.0,68.0,397.06,ba đình,Quận
648,28.0,95.0,294.74,thanh xuân,Quận
649,2.7,92.0,29.35,long biên,Quận
650,7.0,52.0,134.62,đống đa,Quận
651,7.0,80.0,87.5,hoài đức,Huyện
652,2.75,32.0,85.94,đống đa,Quận
653,3.1,53.0,58.49,hoàn kiếm,Quận
654,3.1,40.0,77.5,ba đình,Quận
655,11.5,42.0,273.81,bắc từ liêm,Quận
656,1.5,40.0,37.5,hà đông,Quận
657,1.72,31.0,55.48,hà đông,Quận
658,4.1,43.0,95.35,nam từ liêm,Quận
659,13.0,80.0,162.5,thanh xuân,Quận
660,15.5,67.0,231.34,tây hồ,Quận
661,17.5,120.0,145.83,đống đa,Quận
662,1.9,32.0,59.38,long biên,Quận
663,1.73,35.0,49.43,hà đông,Quận
664,3.7,47.0,78.72,thanh xuân,Quận
665,1.65,33.0,50.0,bắc từ liêm,Quận
666,2.75,31.0,88.71,đống đa,Quận
667,7.3,59.0,123.73,ba đình,Quận
668,12.9,100.0,129.0,thanh xuân,Quận
669,7.0,60.0,116.67,ba đình,Quận
670,6.0,65.0,92.31,long biên,Quận
671,3.15,44.0,71.59,long biên,Quận
672,6.5,40.0,162.5,ba đình,Quận
673,2.0,39.0,51.28,long biên,Quận
674,3.5,34.0,102.94,hoàn kiếm,Quận
675,3.4,34.0,100.0,hoàn kiếm,Quận
676,11.0,60.0,183.33,đống đa,Quận
677,3.85,44.0,87.5,nam từ liêm,Quận
678,6.1,55.0,110.91,ba đình,Quận
679,1.3,40.0,32.5,hà đông,Quận
680,3.98,50.0,79.6,thanh xuân,Quận
681,4.0,44.0,90.91,đống đa,Quận
682,3.0,37.0,81.08,hoàn kiếm,Quận
683,4.8,52.0,92.31,đống đa,Quận
684,3.6,35.0,102.86,tây hồ,Quận
685,12.8,110.0,116.36,long biên,Quận
686,5.0,63.0,79.37,đống đa,Quận
687,6.4,45.0,142.22,thanh xuân,Quận
688,8.2,45.0,182.22,bắc từ liêm,Quận
689,7.5,70.0,107.14,đống đa,Quận
690,1.99,59.0,33.73,long biên,Quận
691,13.8,45.0,306.67,đống đa,Quận
692,2.9,165.0,17.58,thanh xuân,Quận
693,4.5,52.0,86.54,hoàn kiếm,Quận
694,5.29,50.0,105.8,long biên,Quận
695,6.5,48.88,132.98,long biên,Quận
696,3.4,35.0,97.14,hoàn kiếm,Quận
697,4.0,41.0,97.56,hoàn kiếm,Quận
698,2.8,52.0,53.85,hoàn kiếm,Quận
699,4.0,59.0,67.8,ba đình,Quận
700,2.8,35.0,80.0,bắc từ liêm,Quận
701,3.95,39.0,101.28,nam từ liêm,Quận
702,4.4,46.0,95.65,long biên,Quận
703,5.5,75.0,73.33,thanh xuân,Quận
704,2.5,30.0,83.33,nam từ liêm,Quận
705,3.15,34.0,92.65,hoàn kiếm,Quận
706,7.0,60.0,116.67,hoàn kiếm,Quận
707,9.8,45.0,217.78,đống đa,Quận
708,4.6,48.0,95.83,thanh xuân,Quận
709,1.05,85.0,12.35,hoàn kiếm,Quận
710,3.85,39.0,98.72,nam từ liêm,Quận
711,3.15,30.0,105.0,nam từ liêm,Quận
712,2.55,40.0,63.75,nam từ liêm,Quận
713,2.8,32.0,87.5,nam từ liêm,Quận
714,3.85,42.0,91.67,nam từ liêm,Quận
715,2.75,32.0,85.94,nam từ liêm,Quận
716,3.25,40.0,81.25,hoàn kiếm,Quận
717,4.8,40.0,120.0,hoàn kiếm,Quận
718,4.5,52.0,86.54,ba đình,Quận
719,5.8,70.0,82.86,long biên,Quận
720,1.06,33.0,32.12,hà đông,Quận
721,1.05,30.0,35.0,hoài đức,Huyện
722,6.8,75.0,90.67,ba đình,Quận
723,2.95,38.0,77.63,long biên,Quận
724,7.2,43.0,167.44,đống đa,Quận
725,1.3,31.0,41.94,hà đông,Quận
726,5.9,64.0,92.19,long biên,Quận
727,23.8,20.0,1190.0,đống đa,Quận
728,3.45,40.0,86.25,long biên,Quận
729,3.6,47.0,76.6,hoàn kiếm,Quận
730,5.5,41.0,134.15,ba đình,Quận
731,7.0,120.0,58.33,long biên,Quận
732,9.8,58.8,166.67,gia lâm,Huyện
733,8.6,140.0,61.43,bắc từ liêm,Quận
734,2.15,35.0,61.43,long biên,Quận
735,2.1,30.0,70.0,hà đông,Quận
736,2.65,36.0,73.61,bắc từ liêm,Quận
737,3.4,35.0,97.14,thanh xuân,Quận
738,8.5,90.0,94.44,hà đông,Quận
739,5.3,55.0,96.36,ba đình,Quận
740,2.73,35.0,78.0,thanh trì,Huyện
741,7.0,55.0,127.27,nam từ liêm,Quận
742,1.9,33.0,57.58,hoàn kiếm,Quận
743,2.45,40.0,61.25,long biên,Quận
744,8.8,55.0,160.0,nam từ liêm,Quận
745,4.5,54.0,83.33,ba đình,Quận
746,2.25,33.0,68.18,nam từ liêm,Quận
747,3.0,26.0,115.38,đống đa,Quận
748,4.5,42.0,107.14,long biên,Quận
749,2.37,27.0,87.78,thanh trì,Huyện
750,2.45,37.0,66.22,thanh trì,Huyện
751,4.7,45.0,104.44,hà đông,Quận
752,6.0,75.0,80.0,ba đình,Quận
753,2.7,40.0,67.5,long biên,Quận
754,6.6,55.0,120.0,bắc từ liêm,Quận
755,2.8,45.0,62.22,hoàn kiếm,Quận
756,16.5,15.0,1100.0,đống đa,Quận
757,7.0,60.0,116.67,ba đình,Quận
758,3.8,50.0,76.0,hoàn kiếm,Quận
759,2.6,40.0,65.0,hoàn kiếm,Quận
760,2.25,25.0,90.0,hoàn kiếm,Quận
761,12.5,80.0,156.25,tây hồ,Quận
762,2.85,42.0,67.86,long biên,Quận
763,6.2,55.0,112.73,hoàn kiếm,Quận
764,4.2,40.0,105.0,ba đình,Quận
765,8.8,34.0,258.82,ba đình,Quận
766,4.8,52.0,92.31,thanh xuân,Quận
767,3.1,45.0,68.89,hoàn kiếm,Quận
768,8.5,70.0,121.43,ba đình,Quận
769,4.25,60.0,70.83,tây hồ,Quận
770,2.5,22.0,113.64,ba đình,Quận
771,23.0,430.0,53.49,tây hồ,Quận
772,19.2,109.0,176.15,đống đa,Quận
773,6.0,60.0,100.0,long biên,Quận
774,25.0,99.0,252.53,tây hồ,Quận
775,7.8,55.0,141.82,tây hồ,Quận
776,2.0,33.0,60.61,hà đông,Quận
777,2.9,30.0,96.67,bắc từ liêm,Quận
778,3.9,35.0,111.43,ba đình,Quận
779,7.6,70.0,108.57,ba đình,Quận
780,1.7,35.0,48.57,long biên,Quận
781,1.9,42.0,45.24,long biên,Quận
782,15.8,112.0,141.07,thanh xuân,Quận
783,26.8,144.0,186.11,nam từ liêm,Quận
784,3.3,30.0,110.0,hoàn kiếm,Quận
785,2.1,40.0,52.5,thường tín,Huyện
786,13.6,86.0,158.14,ba đình,Quận
787,3.0,40.0,75.0,thanh xuân,Quận
788,5.15,98.0,52.55,hoàn kiếm,Quận
789,5.5,40.0,137.5,nam từ liêm,Quận
790,5.3,36.0,147.22,hoàn kiếm,Quận
791,3.6,42.0,85.71,long biên,Quận
792,2.1,35.0,60.0,long biên,Quận
793,1.95,30.0,65.0,long biên,Quận
794,5.0,40.0,125.0,hoàn kiếm,Quận
795,1.17,30.0,39.0,hà đông,Quận
796,5.0,45.0,111.11,hoàn kiếm,Quận
797,3.4,50.0,68.0,long biên,Quận
798,4.2,50.0,84.0,ba đình,Quận
799,3.1,78.0,39.74,hoàn kiếm,Quận
800,6.1,96.0,63.54,hoàn kiếm,Quận
801,7.1,55.0,129.09,hà đông,Quận
802,2.5,31.0,80.65,thanh trì,Huyện
803,3.35,32.0,104.69,hà đông,Quận
804,4.1,48.0,85.42,hà đông,Quận
805,3.35,40.0,83.75,hà đông,Quận
806,3.95,52.0,75.96,bắc từ liêm,Quận
807,3.1,36.0,86.11,hà đông,Quận
808,2.3,33.0,69.7,hà đông,Quận
809,2.4,48.0,50.0,hà đông,Quận
810,3.1,30.0,103.33,long biên,Quận
811,3.75,50.0,75.0,hà đông,Quận
812,2.7,37.0,72.97,hà đông,Quận
813,2.6,46.0,56.52,hà đông,Quận
814,2.0,19.0,105.26,hà đông,Quận
815,2.6,45.0,57.78,hà đông,Quận
816,1.75,36.0,48.61,hà đông,Quận
817,2.48,30.0,82.67,hà đông,Quận
818,2.45,40.0,61.25,hà đông,Quận
819,3.55,50.0,71.0,hà đông,Quận
820,3.75,38.0,98.68,hà đông,Quận
821,5.95,57.0,104.39,hà đông,Quận
822,5.9,57.0,103.51,hà đông,Quận
823,4.3,48.0,89.58,hà đông,Quận
824,2.45,47.0,52.13,đông anh,Huyện
825,5.1,60.1,84.86,long biên,Quận
826,6.7,55.0,121.82,hoàn kiếm,Quận
827,4.2,38.0,110.53,hà đông,Quận
828,4.2,39.0,107.69,hà đông,Quận
829,4.6,42.0,109.52,hà đông,Quận
830,4.9,52.0,94.23,hà đông,Quận
831,5.8,77.0,75.32,hà đông,Quận
832,5.8,53.0,109.43,hà đông,Quận
833,5.5,54.0,101.85,hà đông,Quận
834,7.9,60.0,131.67,hoàn kiếm,Quận
835,4.55,50.0,91.0,hà đông,Quận
836,4.7,51.0,92.16,hà đông,Quận
837,5.3,62.0,85.48,hà đông,Quận
838,5.3,33.0,160.61,hà đông,Quận
839,3.38,45.0,75.11,hà đông,Quận
840,3.7,52.0,71.15,hà đông,Quận
841,3.2,52.0,61.54,hà đông,Quận
842,5.5,84.0,65.48,hà đông,Quận
843,4.2,40.0,105.0,hà đông,Quận
844,4.25,44.0,96.59,hà đông,Quận
845,4.25,36.0,118.06,hà đông,Quận
846,4.45,33.0,134.85,hà đông,Quận
847,4.5,46.0,97.83,hà đông,Quận
848,4.55,36.0,126.39,hà đông,Quận
849,4.0,34.0,117.65,hà đông,Quận
850,3.95,33.0,119.7,hà đông,Quận
851,3.85,38.0,101.32,hà đông,Quận
852,3.5,45.0,77.78,hà đông,Quận
853,4.0,31.0,129.03,hà đông,Quận
854,3.7,36.0,102.78,hà đông,Quận
855,3.35,50.0,67.0,hà đông,Quận
856,3.7,42.0,88.1,hà đông,Quận
857,3.7,40.0,92.5,hà đông,Quận
858,3.85,41.0,93.9,hà đông,Quận
859,3.8,50.0,76.0,hà đông,Quận
860,3.8,32.0,118.75,hà đông,Quận
861,3.8,39.0,97.44,hà đông,Quận
862,3.65,41.0,89.02,hà đông,Quận
863,3.6,33.0,109.09,hà đông,Quận
864,3.25,34.0,95.59,hà đông,Quận
865,3.3,30.0,110.0,hà đông,Quận
866,3.4,35.0,97.14,hà đông,Quận
867,3.3,51.0,64.71,hà đông,Quận
868,3.55,32.0,110.94,hà đông,Quận
869,3.6,32.0,112.5,hà đông,Quận
870,3.6,92.0,39.13,hà đông,Quận
871,3.65,33.0,110.61,hà đông,Quận
872,3.65,23.0,158.7,hà đông,Quận
873,2.5,45.0,55.56,hà đông,Quận
874,3.4,39.0,87.18,hà đông,Quận
875,4.85,50.0,97.0,hà đông,Quận
876,4.95,50.0,99.0,hà đông,Quận
877,4.1,38.0,107.89,hà đông,Quận
878,3.5,53.0,66.04,hà đông,Quận
879,2.35,30.0,78.33,hà đông,Quận
880,4.2,73.0,57.53,hà đông,Quận
881,3.1,34.0,91.18,hà đông,Quận
882,3.15,36.0,87.5,hà đông,Quận
883,3.25,53.0,61.32,hà đông,Quận
884,2.85,30.0,95.0,hà đông,Quận
885,5.7,60.0,95.0,hà đông,Quận
886,3.9,35.0,111.43,hà đông,Quận
887,2.4,44.0,54.55,hà đông,Quận
888,3.75,60.0,62.5,hà đông,Quận
889,2.9,33.0,87.88,hà đông,Quận
890,2.5,34.0,73.53,hà đông,Quận
891,2.98,38.0,78.42,hà đông,Quận
892,3.7,34.0,108.82,hà đông,Quận
893,3.38,39.0,86.67,hà đông,Quận
894,5.8,56.0,103.57,hà đông,Quận
895,7.7,68.0,113.24,ba đình,Quận
896,3.75,36.0,104.17,bắc từ liêm,Quận
897,2.5,34.0,73.53,bắc từ liêm,Quận
898,5.95,50.0,119.0,hoàn kiếm,Quận
899,2.08,20.0,104.0,hoàn kiếm,Quận
900,4.8,50.0,96.0,đống đa,Quận
901,3.55,34.0,104.41,tây hồ,Quận
902,9.5,45.0,211.11,đống đa,Quận
903,45.0,105.0,428.57,thanh xuân,Quận
904,7.5,67.0,111.94,ba đình,Quận
905,13.5,65.0,207.69,ba đình,Quận
906,2.25,41.0,54.88,nam từ liêm,Quận
907,9.9,82.0,120.73,hoàn kiếm,Quận
908,10.9,50.0,218.0,ba đình,Quận
909,6.5,75.0,86.67,ba đình,Quận
910,5.8,14.0,414.29,đống đa,Quận
911,5.5,52.0,105.77,thanh xuân,Quận
912,1.4,33.0,42.42,thanh oai,Huyện
913,2.05,35.0,58.57,hà đông,Quận
914,23.0,281.0,81.85,hoàn kiếm,Quận
915,2.3,35.0,65.71,hà đông,Quận
916,1.62,31.0,52.26,hà đông,Quận
917,3.05,40.0,76.25,long biên,Quận
918,9.1,52.0,175.0,ba đình,Quận
919,3.7,37.0,100.0,ba đình,Quận
920,1.9,32.0,59.38,hoàn kiếm,Quận
921,4.15,39.0,106.41,ba đình,Quận
922,5.0,36.0,138.89,ba đình,Quận
923,19.5,85.0,229.41,tây hồ,Quận
924,3.6,38.0,94.74,hoàn kiếm,Quận
925,2.85,42.0,67.86,đống đa,Quận
926,7.5,40.0,187.5,ba đình,Quận
927,11.0,65.0,169.23,nam từ liêm,Quận
928,4.3,63.0,68.25,thanh trì,Huyện
929,3.5,39.0,89.74,ba đình,Quận
930,7.8,145.0,53.79,hoàn kiếm,Quận
931,12.9,120.0,107.5,ba đình,Quận
932,3.75,52.0,72.12,hoàn kiếm,Quận
933,2.95,32.0,92.19,bắc từ liêm,Quận
934,4.68,52.0,90.0,đống đa,Quận
935,5.2,36.0,144.44,ba đình,Quận
936,6.25,40.0,156.25,hoàn kiếm,Quận
937,1.51,32.0,47.19,hà đông,Quận
938,1.93,30.0,64.33,hà đông,Quận
939,5.0,56.0,89.29,ba đình,Quận
940,3.5,42.0,83.33,đống đa,Quận
941,3.5,50.0,70.0,hoàn kiếm,Quận
942,5.1,81.0,62.96,long biên,Quận
943,6.5,80.0,81.25,long biên,Quận
944,3.3,48.0,68.75,hoàn kiếm,Quận
945,2.58,30.0,86.0,hoàn kiếm,Quận
946,2.6,30.0,86.67,hoàn kiếm,Quận
947,2.6,30.0,86.67,thanh xuân,Quận
948,3.5,57.0,61.4,đống đa,Quận
949,11.6,80.0,145.0,đống đa,Quận
950,16.5,110.0,150.0,tây hồ,Quận
951,3.68,48.0,76.67,đống đa,Quận
952,20.0,160.0,125.0,thanh xuân,Quận
953,2.9,35.0,82.86,đống đa,Quận
954,2.9,28.0,103.57,hoàn kiếm,Quận
955,6.3,59.0,106.78,tây hồ,Quận
956,2.2,31.0,70.97,hoài đức,Huyện
957,10.5,50.0,210.0,ba đình,Quận
958,6.5,97.0,67.01,long biên,Quận
959,2.15,18.0,119.44,đống đa,Quận
960,3.8,40.0,95.0,bắc từ liêm,Quận
961,3.35,32.0,104.69,nam từ liêm,Quận
962,8.0,36.0,222.22,ba đình,Quận
